Player	Start	End	Matche	Run	High Score	Average	Century	Wicket	BBI	B Average	5 Wickets	Catch Out	Stamp Out
SR Tendulkar (IND)	1989	2012	463	18426	200*	44.83	49	154	May-32	44.48	2	140	0
DPMD Jayawardene (Asia/SL)	1998	2015	448	12650	144	33.37	19	8	Feb-56	70.37	0	218	0
ST Jayasuriya (Asia/SL)	1989	2011	445	13430	189	32.36	28	323	Jun-29	36.75	4	123	0
KC Sangakkara (Asia/ICC/SL)	2000	2015	404	14234	169	41.98	25	-	-	-	-	402	99
Shahid Afridi (Asia/ICC/PAK)	1996	2015	398	8064	124	23.57	6	395	07-Dec	34.51	9	127	0
Inzamam-ul-Haq (Asia/PAK)	1991	2007	378	11739	137*	39.52	10	3	1/0	21.33	0	113	0
RT Ponting (AUS/ICC)	1995	2012	375	13704	164	42.03	30	3	01-Dec	34.66	0	160	0
Wasim Akram (PAK)	1984	2003	356	3717	86	16.52	0	502	May-15	23.52	6	88	0
MS Dhoni (Asia/IND)	2004	2019	350	10773	183*	50.57	10	1	Jan-14	31	0	321	123
M Muralidaran (Asia/ICC/SL)	1993	2011	350	674	33*	6.8	0	534	Jul-30	23.08	10	130	0
R Dravid (Asia/ICC/IND)	1996	2011	344	10889	153	39.16	12	4	Feb-43	42.5	0	196	14
M Azharuddin (IND)	1985	2000	334	9378	153*	36.92	7	12	Mar-19	39.91	0	156	0
TM Dilshan (SL)	1999	2016	330	10290	161*	39.27	22	106	04-Apr	45.07	0	123	1
JH Kallis (Afr/ICC/SA)	1996	2014	328	11579	139	44.36	17	273	May-30	31.79	2	131	0
SR Waugh (AUS)	1986	2002	325	7569	120*	32.9	3	195	Apr-33	34.67	0	111	0
WPUJC Vaas (Asia/SL)	1994	2008	322	2025	50*	13.68	0	400	Aug-19	27.53	4	60	0
SC Ganguly (Asia/IND)	1992	2007	311	11363	183	41.02	22	100	May-16	38.49	2	100	0
PA de Silva (SL)	1984	2003	308	9284	145	34.9	11	106	Apr-30	39.4	0	95	0
Yuvraj Singh (Asia/IND)	2000	2017	304	8701	150	36.55	14	111	May-31	38.68	1	94	0
SM Pollock (Afr/ICC/SA)	1996	2008	303	3519	130	26.45	1	393	Jun-35	24.5	5	108	0
CH Gayle (ICC/WI)	1999	2019	301	10480	215	37.83	25	167	May-46	35.48	1	124	0
BC Lara (ICC/WI)	1990	2007	299	10405	169	40.48	19	4	02-May	15.25	0	120	0
MV Boucher (Afr/SA)	1998	2011	295	4686	147*	28.57	1	-	-	-	-	403	22
DL Vettori (ICC/NZ)	1997	2015	295	2253	83	17.33	0	305	05-Jul	31.71	2	88	0
Mohammad Yousuf (Asia/PAK)	1998	2010	288	9720	141*	41.71	15	1	1/0	1	0	58	0
AC Gilchrist (AUS/ICC)	1996	2008	287	9619	172	35.89	16	-	-	-	-	417	55
Shoaib Malik (PAK)	1999	2019	287	7534	143	34.55	9	158	Apr-19	39.18	0	98	0
Saleem Malik (PAK)	1982	1999	283	7170	102	32.88	5	89	May-35	33.24	1	81	0
SP Fleming (ICC/NZ)	1994	2007	280	8037	134*	32.4	8	1	01-Aug	28	0	133	0
AR Border (AUS)	1979	1994	273	6524	127*	30.62	3	73	Mar-20	28.36	0	127	0
V Kohli (IND)	2008	2023	271	12809	183	57.69	46	4	Jan-15	166.25	0	141	0
A Kumble (Asia/IND)	1990	2007	271	938	26	10.53	0	337	06-Dec	30.89	2	85	0
A Ranatunga (SL)	1982	1999	269	7456	131*	35.84	4	79	Apr-14	47.55	0	63	0
MS Atapattu (SL)	1990	2007	268	8529	132*	37.57	11	0	-	-	0	70	0
S Chanderpaul (WI)	1994	2011	268	8778	150	41.6	11	14	Mar-18	45.42	0	73	0
Abdul Razzaq (Asia/PAK)	1996	2011	265	5080	112	29.7	3	269	Jun-35	31.83	3	35	0
Younis Khan (PAK)	2000	2015	265	7249	144	31.24	7	3	01-Mar	96	0	135	0
Waqar Younis (PAK)	1989	2003	262	969	37	10.3	0	416	Jul-36	23.84	13	35	0
BB McCullum (NZ)	2002	2016	260	6083	166	30.41	5	-	-	-	-	262	15
V Sehwag (Asia/ICC/IND)	1999	2013	251	8273	219	35.05	15	96	04-Jun	40.13	0	93	0
CZ Harris (NZ)	1990	2004	250	4379	130	29	1	203	May-42	37.5	1	96	0
Ijaz Ahmed (PAK)	1986	2000	250	6564	139*	32.33	10	5	Feb-31	95.2	0	90	0
GD McGrath (AUS/ICC)	1993	2007	250	115	11	3.83	0	381	Jul-15	22.02	7	37	0
HH Gibbs (SA)	1996	2010	248	8094	175	36.13	21	-	-	-	-	108	0
EJG Morgan (ENG/IRE)	2006	2022	248	7701	148	39.29	14	-	-	-	-	87	0
Saeed Anwar (PAK)	1989	2003	247	8824	194	39.21	20	6	02-Sep	31.83	0	42	0
MJ Clarke (AUS)	2003	2015	245	7981	130	44.58	8	57	May-35	37.64	1	106	0
JN Rhodes (SA)	1992	2003	245	5935	121	35.11	2	0	-	-	0	105	0
