Team	Span	Mat	Won	Lost	Draw	Tied	Tie+W	Tie+L	NR	W/L	%W	%L	%D	%
Afghanistan	2009-2023	147	73	69	0	1	0	0	4	1.05	49.65	46.93	0	51.39
Africa XI	2005-2007	6	1	4	0	0	0	0	1	0.25	16.66	66.66	0	20
Asia XI	2005-2007	7	4	2	0	0	0	0	1	2	57.14	28.57	0	66.66
Australia	1971-2023	978	594	341	0	9	0	0	34	1.74	60.73	34.86	0	63.4
Bangladesh	1986-2023	415	152	254	0	0	0	0	9	0.59	36.62	61.2	0	37.43
Bermuda	2006-2009	35	7	28	0	0	0	0	0	0.25	20	80	0	20
Canada	1979-2023	82	20	60	0	0	0	0	2	0.33	24.39	73.17	0	25
East Africa	1975-1975	3	0	3	0	0	0	0	0	0	0	100	0	-
England	1971-2023	779	392	348	0	9	0	0	30	1.12	50.32	44.67	0	52.93
Hong Kong	2004-2018	26	9	16	0	0	0	0	1	0.56	34.61	61.53	0	36
ICC World XI	2005-2005	4	1	3	0	0	0	0	0	0.33	25	75	0	25
India	1974-2023	1032	541	439	0	9	0	0	43	1.23	52.42	42.53	0	55.15
Ireland	2006-2023	194	78	100	0	3	0	0	13	0.78	40.2	51.54	0	43.92
Jersey	2023-2023	5	1	4	0	0	0	0	0	0.25	20	80	0	20
Kenya	1996-2014	154	42	107	0	0	0	0	5	0.39	27.27	69.48	0	28.18
Namibia	2003-2023	48	23	24	0	0	0	0	1	0.95	47.91	50	0	48.93
Nepal	2018-2023	57	30	25	0	1	0	0	1	1.2	52.63	43.85	0	54.46
Netherlands	1996-2023	114	39	69	0	1	1	0	4	0.56	34.21	60.52	0	36.36
New Zealand	1973-2023	804	369	386	0	7	0	0	42	0.95	45.89	48.01	0	48.88
Oman	2019-2023	46	23	21	0	1	0	0	1	1.09	50	45.65	0	52.22
Pakistan	1973-2023	953	503	421	0	8	0	1	20	1.19	52.78	44.17	0	54.39
Papua New Guinea	2014-2023	66	14	51	0	1	0	0	0	0.27	21.21	77.27	0	21.96
Scotland	1999-2023	153	68	77	0	1	0	0	7	0.88	44.44	50.32	0	46.91
South Africa	1991-2023	654	399	228	0	6	0	0	21	1.75	61	34.86	0	63.5
Sri Lanka	1975-2023	894	409	441	0	5	0	0	39	0.92	45.74	49.32	0	48.12
United Arab Emirates	1994-2023	108	37	70	0	1	0	0	0	0.52	34.25	64.81	0	34.72
United States of America	2004-2023	51	22	27	0	2	0	0	0	0.81	43.13	52.94	0	45.09
West Indies	1973-2023	867	418	408	0	10	0	1	30	1.02	48.21	47.05	0	50.59
Zimbabwe	1983-2023	566	151	394	0	7	1	0	13	0.38	26.67	69.61	0	28.02
